sLong,sLat,mean,lu_avg_01,lu_avg_02,lu_avg_03,lu_avg_04,lu_avg_05,lu_avg_06,lu_avg_07,lu_avg_08,lu_avg_09,lu_avg_10,lu_avg_11,lu_avg_12,prec,tmin,tmax,soil_avg_01,soil_avg_02,soil_avg_03,soil_avg_04,soil_avg_05,soil_avg_06,soil_avg_07,soil_avg_08,soil_avg_09,soil_avg_10,hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_05,hydro_avg_06,hydro_avg_07,hydro_avg_08,hydro_avg_09,hydro_avg_10,hydro_avg_11,hydro_avg_12,hydro_avg_13,hydro_avg_14,hydro_avg_15,hydro_avg_16,hydro_avg_17,hydro_avg_18,hydro_avg_19,dem_avg,slope_ave,lentic_lotic01
-122.92083,45.412498,2.06111111111111,34,0,4,28,0,3,27,0,4,0,0,0,329949.833333333,26.5,133.5,61,54,39,43,18,9,21,1221,240,5,106,114,44,5144,261,2,259,48,173,174,44,3745427,643579,48352,66,1815286,241428,1815286,241428,220,274,4
-122.912498,45.520832,2.13333333333333,20,0,6,21,0,2,28,0,23,0,0,0,21625,16,104,34,57,43,40,17,7,18,1347,240,4,112,112,42,5359,267,4,263,50,182,182,47,193504,32334,2990,60,91046,15365,91046,15365,112,159,2
-122.895836,45.529167,1.43666666666666,20,0,6,20,0,2,29,0,23,0,0,0,16257.5,28.5,129.5,34,56,43,39,17,7,18,1346,240,4,112,111,42,5369,267,4,263,50,182,182,46,185590,30987,2870,60,87282,14741,87282,14741,115,166,2
-122.887497,45.520832,1.59527777777778,28,1,1,18,0,1,11,0,42,0,0,0,7668.66666666667,28,130,34,58,45,39,16,7,18,1355,240,4,112,111,42,5367,267,4,263,50,182,182,47,82640,13762,1284,60,38795,6602,38795,6602,112,167,1
-122.862503,45.520832,1.99116666666667,32,1,1,20,0,1,13,0,32,0,0,0,6495,23.2,118.8,36,56,46,38,16,8,17,1350,240,5,112,111,42,5369,267,4,263,50,182,182,46,64841,10747,1014,60,30359,5188,30359,5188,128,213,1
-122.854164,45.370834,1.4,28,0,3,23,0,6,38,0,3,0,0,0,6471,28,131.5,53,57,32,48,20,9,27,1310,240,5,112,115,43,5332,270,3,267,51,182,182,47,73546,12406,1081,61,34808,5498,34808,5498,158,277,1
-122.854164,45.387501,2.02380952380952,34,0,4,28,0,3,27,0,3,0,0,0,352319.142857143,24.4285714285714,129.428571428571,60,54,38,43,18,9,21,1224,240,5,106,114,44,5144,261,2,259,48,173,174,44,3807768,654165,49297,66,1844870,246253,1844870,246253,216,270,4
-122.854164,45.537498,2.29625,25,1,2,27,0,2,15,0,28,0,0,0,3232.5,25,122.75,37,55,47,38,16,8,16,1342,240,5,112,111,42,5381,266,4,262,50,182,182,46,33097,5479,516,60,15490,2639,15490,2639,138,245,1
-122.837502,45.545834,2.46833333333333,27,1,2,29,0,2,16,0,21,0,0,0,2613.2,23.2,118.6,39,54,46,38,16,9,16,1337,240,6,112,110,42,5386,266,4,262,50,182,182,46,25979,4286,404,59,12138,2065,12138,2065,159,309,1
-122.82917,45.495834,1.8,29,1,0,10,0,0,5,0,55,0,0,0,8703,17,104,38,59,44,40,16,7,21,1357,240,4,113,111,42,5386,268,5,263,51,183,183,47,78711,13104,1228,60,36955,6275,36955,6275,112,154,1
-122.820831,45.104168,10.7333333333333,26,0,5,17,0,5,44,0,1,0,0,0,136409,36,151,46,55,37,43,20,8,20,1258,240,4,107,113,43,5156,262,2,260,49,175,176,45,1876141,300265,26040,59,853806,137033,853806,137033,278,190,1
-122.79583,45.454166,0.926666666666667,29,1,0,8,0,0,3,0,59,0,0,0,11338,43,157,38,58,44,41,16,7,20,1349,240,4,113,110,42,5385,268,6,262,52,184,184,48,173874,28741,2742,59,81274,13989,81274,13989,109,152,2
-122.779167,45.4375,0.926666666666667,30,1,0,8,0,0,5,0,56,0,0,0,13606,43,157,38,59,43,41,16,7,21,1352,240,4,113,110,42,5385,268,6,262,52,184,184,48,208974,34580,3296,59,97736,16807,97736,16807,104,147,2
-122.770836,45.429165,1.4,30,1,0,8,0,0,5,0,56,0,0,0,23866,18,105,37,59,43,41,16,7,21,1353,240,4,113,110,42,5388,268,6,262,52,184,184,48,217224,35948,3426,59,101596,17473,101596,17473,103,145,2
-122.770836,45.470833,1.645,38,0,0,7,0,0,1,0,54,0,0,0,4905.5,30.5,130.5,44,55,44,40,16,9,19,1318,240,7,113,109,41,5394,267,6,261,52,184,184,48,55554,9060,883,58,25756,4502,25756,4502,136,211,1
-122.762497,45.587502,0.95,59,0,2,16,0,2,18,0,2,0,0,0,8988735,3,93,70,53,43,41,16,13,20,1158,240,5,100,118,44,5290,263,-7,270,40,169,170,36,76570208,12767693,957615,63,36284628,5059840,36284628,5059840,566,453,5
-122.754166,45.387501,2.41333333333333,33,0,4,26,0,3,26,0,8,0,0,0,391372.8,25.8,131,58,54,39,43,18,9,21,1240,240,5,107,114,43,5188,262,2,260,48,175,176,45,4215037,721912,55638,65,2035810,278532,2035810,278532,202,257,4
-122.754166,45.404167,1.21926020408163,29,1,0,8,0,0,4,0,57,0,0,0,24822.4642857143,27.6785714285714,126.178571428571,38,59,42,42,17,7,22,1352,240,4,113,110,42,5397,268,6,262,52,184,184,48,254595,42082,4021,59,118962,20499,118962,20499,102,152,2
-122.754166,45.412498,1.9,29,1,0,8,0,0,5,0,57,0,0,0,27386,18,105,38,59,42,41,17,7,22,1351,240,4,113,110,42,5397,268,6,262,52,184,184,48,249433,41229,3938,59,116556,20081,116556,20081,103,154,2
-122.654167,45.337502,2.10666666666667,57,0,3,16,0,3,19,0,2,0,0,0,5886568.6,18.8,130.6,68,53,42,41,17,13,20,1166,240,5,101,120,44,5291,265,-7,272,41,170,171,37,67432681,11294386,836408,64,32070354,4406003,32070354,4406003,547,447,5
-122.279167,47.704166,2.22222222222222,50,1,0,8,0,0,0,0,39,0,0,1,4121.33333333333,37.3333333333333,116,59,57,58,32,9,11,16,1233,240,3,109,81,37,4757,234,17,217,57,172,172,53,45835,6829,1134,51,20038,4803,20038,4803,103,120,1
-122.262497,47.479168,0.863333333333333,66,0,3,18,1,1,6,0,4,1,1,1,600752,16,122,135,52,47,45,8,16,25,943,240,5,82,102,40,5256,230,-20,250,23,151,151,19,8082526,1219435,170147,53,3584416,747609,3584416,747609,818,707,4
-122.237503,38.887501,0.452,38,0,6,43,1,1,2,0,1,0,0,7,422427,21,161,36,63,44,37,19,11,25,1365,232,12,138,169,49,6104,341,-5,346,66,219,219,66,3040742,621712,5286,87,1620480,43055,1620480,43055,623,471,4
-122.162498,47.3125,1.1,55,0,2,30,0,1,8,0,3,0,0,2,38973,20,117,82,55,54,36,9,11,19,1156,240,5,102,103,42,4927,244,3,241,46,167,167,43,402399,58093,10356,47,168835,43862,168835,43862,158,89,3
-121.929169,45.345833,0.53,97,0,0,1,0,1,0,0,0,0,1,0,57248.3333333333,-13.6666666666667,72.3333333333333,117,50,50,39,10,22,20,943,240,6,76,106,40,5562,235,-29,264,15,149,150,9,520579,85032,6462,61,242568,35612,242568,35612,1120,834,2
-121.729164,38.729168,1.07875,32,0,5,42,2,4,7,0,1,0,0,6,533297,22,158.5,32,64,45,36,19,10,25,1398,232,11,143,167,48,6125,344,1,343,70,224,224,70,3581536,737542,6194,88,1915166,50174,1915166,50174,533,429,4
-121.67083,38.679165,0.842,32,0,5,42,2,4,8,0,1,0,0,6,502138,28,167,31,64,45,36,19,10,25,1399,232,11,143,167,48,6144,345,1,344,70,224,224,70,3612285,744090,6259,88,1931457,50629,1931457,50629,526,423,4
-121.262497,37.679165,2.86166666666667,18,0,1,23,15,14,26,0,1,0,1,0,7716531,25.5,156,22,67,50,32,17,13,21,1432,236,7,146,151,45,6472,336,3,333,80,230,230,67,49124744,8935006,353618,78,24368068,1486346,24368068,1486346,895,400,5
-121.137497,37.604168,2.53333333333333,34,0,1,29,10,15,9,0,1,0,1,1,873557,-15,109,33,59,54,31,15,19,17,1334,238,7,111,147,45,6249,299,-23,322,38,194,194,38,5791466,1022083,52381,75,2793616,215235,2793616,215235,1456,509,4
-121.104164,39.295834,0.428,72,0,0,16,1,9,0,0,0,0,0,1,246228,-20,104,52,50,55,31,14,22,14,1207,240,7,96,145,45,6152,283,-36,319,25,178,178,25,1755072,317614,9185,77,863289,52910,863289,52910,1630,567,2
-121.07917,39.395832,0.3025,86,0,0,12,0,2,0,0,0,0,0,1,168620,-13,112,56,49,52,33,15,21,14,1204,239,8,102,146,46,6143,290,-29,319,32,184,184,32,1218743,224260,5091,78,605178,33043,605178,33043,1466,546,2
-121.012497,37.412498,0.416666666666667,11,0,0,50,5,14,19,0,0,0,0,0,54935,39,162,18,70,52,32,17,12,22,1481,231,11,157,154,47,5954,344,20,324,82,232,232,82,340138,65818,1041,84,173905,4984,173905,4984,372,364,2
-120.987503,37.629166,1.00666666666667,35,0,1,29,10,15,8,0,1,0,1,1,869314,-16,108,33,58,54,31,15,19,17,1332,238,8,110,146,45,6239,298,-24,322,37,193,193,37,5764290,1016742,52287,75,2779718,214765,2779718,214765,1474,515,4
-120.95417,37.354168,1.79875,36,0,1,31,6,12,13,0,0,0,1,0,605713,1,125,33,60,53,31,15,17,18,1358,237,8,127,149,45,6329,317,-10,327,51,210,210,51,3905252,702518,28123,77,1916629,119791,1916629,119791,1284,560,4
-120.854164,37.295834,2.03333333333333,15,0,1,22,18,14,28,0,1,0,1,0,5375401,23,150,20,69,50,32,18,13,22,1445,235,7,151,152,45,6561,342,6,336,84,236,236,70,32693456,5985107,234417,78,16501353,971998,16501353,971998,863,396,5
-120.845833,37.645832,1.055,1,0,1,22,12,29,35,0,0,0,0,0,43927,54,187,11,70,42,37,21,6,26,1570,240,5,162,150,45,6385,356,25,331,82,244,244,82,287553,53676,674,82,142849,3981,142849,3981,131,90,3
-120.645836,37.512501,6.4,3,0,3,12,1,12,69,0,0,0,0,0,1789,56,188,14,69,43,37,21,3,23,1561,240,4,164,146,44,6431,356,27,329,83,246,246,83,12648,2528,0,84,6490,111,6490,111,76,21,1
-120.32917,37.854168,0.526666666666667,46,0,1,26,11,13,1,0,0,0,1,0,676165,-39,86,41,54,58,29,13,24,14,1248,239,8,89,144,45,6212,273,-44,317,18,172,173,18,4503947,782984,49367,73,2150546,196329,2150546,196329,2032,673,4
-120.195831,39.137501,0.28,78,0,0,12,0,7,0,0,0,0,0,3,2172,-36,100,47,53,54,32,14,29,17,1183,240,4,59,146,45,6208,248,-76,324,-12,141,142,-12,30564,5320,360,71,14498,1600,14498,1600,2271,732,1
-120.1875,46.345833,5.23888888888889,0,0,3,7,0,14,72,0,4,0,0,0,257.333333333333,16.6666666666667,154,19,72,48,37,15,4,21,1417,240,2,112,137,38,7862,317,-41,358,17,208,215,12,3249,505,90,44,1371,419,1371,419,249,77,1
-120.162498,39.104168,0.257166666666666,42,0,0,14,1,5,0,0,0,0,0,34,14672.875,-35.125,100.625,49,54,57,29,13,25,16,1218,239,6,67,149,45,6282,259,-71,330,3,150,151,-6,170669,29221,2604,67,79460,10701,79460,10701,2148,532,0
-120.154167,39.129166,0.355133333333333,40,0,0,13,1,5,0,0,0,0,0,37,22176.2,-50.4,76.2,48,54,57,29,13,25,16,1225,239,6,67,150,45,6312,260,-71,331,3,151,151,-6,182062,31148,2800,67,84716,11482,84716,11482,2139,501,0
-120.137497,39.045834,0.287904761904762,72,0,0,20,0,5,0,0,0,0,0,3,2983.42857142857,-44,83.4285714285714,48,55,60,28,12,24,18,1196,240,4,62,145,45,6162,249,-72,321,-9,144,145,-9,28032,4914,335,71,13359,1474,13359,1474,2193,581,1
-120.129166,46.337502,4.9625,1,0,1,4,1,16,71,0,6,0,0,0,641.5,21,161.5,19,73,47,38,15,3,20,1423,240,3,112,138,38,7771,317,-39,356,18,206,213,13,8467,1294,235,43,3549,1094,3549,1094,254,87,1
-120.029167,38.854168,0.202222222222222,62,0,0,21,3,12,0,0,0,0,1,1,13002,-34,100,49,51,60,29,11,30,13,1198,240,6,59,144,44,6274,244,-79,323,-3,142,143,-13,172464,29132,2317,69,80774,9783,80774,9783,2408,755,1
-120.020836,38.795834,0.223333333333333,59,0,0,19,4,17,0,0,0,0,1,0,6652,-42,89,51,51,59,30,11,30,13,1172,240,6,53,138,44,6189,232,-81,313,-6,135,137,-16,86305,14462,1170,68,40295,4920,40295,4920,2532,695,1
-120.012497,38.870834,0.23,66,0,0,20,3,10,0,0,0,0,1,0,16169,-33,103,49,52,60,29,11,29,13,1211,240,6,60,145,44,6321,247,-79,326,-3,144,144,-13,216977,36735,2953,69,101667,12416,101667,12416,2360,713,1
-119.987503,38.920834,0.273166666666667,67,0,0,18,2,8,2,0,1,0,0,1,34460.6666666667,-43.9166666666667,90.25,49,53,61,28,11,29,13,1228,240,6,62,147,44,6363,251,-79,330,-2,146,146,-12,364491,61465,5341,68,169988,22073,169988,22073,2344,720,3
-119.979164,38.929165,0.255472222222222,61,0,0,20,2,5,7,0,3,0,0,2,5704.33333333333,-36.0833333333333,101.5,50,54,61,28,10,29,13,1247,240,7,63,148,44,6394,254,-78,332,-1,148,148,-11,69879,11630,1173,65,32201,4723,32201,4723,2366,889,2
-119.970833,38.904167,0.236527777777778,93,0,0,8,0,0,0,0,0,0,0,0,177,-28,113,39,57,61,28,11,19,15,1300,240,3,66,151,45,6421,258,-78,336,0,150,150,-10,2758,477,44,68,1298,177,1298,177,1950,136,1
-119.962502,38.912498,0.816333333333334,64,0,0,19,2,6,7,0,0,0,0,1,6376.5,-43.5,88.5,51,53,61,28,10,31,13,1242,240,8,63,147,44,6379,252,-78,330,-2,147,147,-11,63352,10502,1063,65,29145,4284,29145,4284,2427,986,1
-119.9375,38.962502,0.307088888888889,50,0,0,29,8,2,0,2,4,0,0,6,655.6,-31.2,107.2,55,54,61,28,10,31,12,1240,238,11,69,149,44,6391,262,-71,333,4,154,154,-5,8181,1368,145,65,3759,580,3759,580,2231,1257,1
-119.9375,39.087502,0.2755,41,0,0,15,1,5,0,0,0,0,0,33,13176,-30.5,107.666666666667,49,54,57,29,13,25,15,1228,239,7,69,149,45,6342,262,-69,331,4,153,153,-5,165838,28355,2562,67,77132,10499,77132,10499,2149,511,0
-119.9375,39.245834,0.299630952380952,59,0,0,8,2,24,1,0,0,0,1,5,4777.04,-42.2,96.96,43,54,60,28,11,29,14,1251,239,7,65,152,44,6516,263,-77,340,0,153,153,-9,54148,8704,1056,61,24054,4302,24054,4302,2479,774,1
-119.929169,38.962502,0.355666666666667,55,0,0,28,9,4,0,1,3,0,0,1,326,-28,114,54,54,62,28,10,34,12,1239,237,12,68,148,44,6415,261,-71,332,3,154,154,-6,4672,776,83,64,2139,333,2139,333,2325,1290,1
-119.92083,38.962502,0.3444,70,0,0,23,5,2,0,0,0,0,0,0,199.8,-32.4,105.2,55,53,62,29,9,34,12,1245,240,13,68,147,44,6405,260,-71,331,3,153,153,-6,2432,402,44,64,1111,174,1111,174,2379,1268,1
-118.145836,46.762501,2.51,7,0,0,9,11,27,42,0,0,0,4,0,573545,-6,102.5,24,71,34,45,21,8,33,1303,240,3,87,129,37,7282,290,-52,342,0,178,182,-3,6721622,911168,233408,38,2592817,847448,2592817,847448,693,123,4
-117.79583,33.854168,5.06,20,0,1,11,38,6,6,0,14,0,3,1,669115,41,184,19,69,55,29,16,12,20,1419,232,9,166,157,51,5302,338,31,307,111,235,239,105,3840749,725368,22481,80,2032858,154690,2032858,154690,830,445,5
-117.79583,46.945835,3.5,0,0,0,7,5,17,70,0,0,0,1,0,10675,17,153,17,73,32,46,23,5,33,1331,240,1,92,133,39,7125,295,-46,341,7,181,186,3,137174,19192,4624,39,53406,16855,53406,16855,610,98,1
-117.645836,33.887501,7.08333333333333,16,0,0,9,49,6,7,0,7,0,3,1,263709,43,186,16,71,54,29,17,11,21,1435,232,9,168,156,51,5322,339,33,306,113,237,242,107,1541668,289121,9612,79,809932,68000,809932,68000,736,377,5
-117.520836,47.204166,1.36666666666667,2,0,0,3,1,18,67,0,0,0,8,0,53820,11,138,17,70,28,49,23,5,35,1307,240,1,81,124,37,7175,280,-56,336,-3,171,175,-8,711650,97535,25392,38,275436,91069,275436,91069,767,99,3
-117.362503,46.879166,4.93333333333333,22,0,1,12,1,15,65,0,2,0,9,0,177105,13,137,31,69,37,48,23,9,29,1309,240,3,83,124,37,6952,281,-50,331,1,171,174,-3,2271158,297365,77144,37,866752,287158,866752,287158,864,211,3
-117.0625,34.145832,0.66,55,0,1,17,20,1,2,0,1,0,2,1,65285,-30,112,42,57,61,28,12,25,15,1299,234,11,106,161,48,6125,292,-40,332,41,163,188,35,398896,69106,2429,73,197717,24243,197717,24243,2102,887,2
-116.979164,47.704166,0.236666666666667,72,0,0,19,1,2,2,0,0,0,3,1,1052858,-6,126,82,57,49,43,8,20,26,1118,240,4,69,130,37,7355,277,-72,349,-15,162,166,-21,14868632,2055387,473943,39,5869429,1911488,5869429,1911488,1144,606,5
-116.879166,43.729168,2.76666666666667,2,0,0,2,2,8,79,0,1,0,1,6,13032,25,181,14,70,40,40,19,8,23,1436,240,4,105,146,37,8387,327,-63,390,4,206,215,-2,138773,16237,3677,32,48053,18238,48053,18238,769,60,2
-116.8125,43.729168,4.12,22,0,2,10,9,34,20,0,2,0,2,0,546611,-13,138,33,66,44,40,16,17,25,1335,238,8,70,157,38,8417,301,-104,405,-27,173,179,-37,7439748,1052119,234800,41,2966830,913012,2966830,913012,1569,520,5
-116.662498,43.695835,4.36666666666667,25,0,2,10,7,35,17,0,1,0,3,0,489093,-19,133,36,65,45,40,15,18,24,1317,238,9,64,159,39,8407,296,-111,407,-32,167,173,-43,6816156,972991,219553,42,2736107,839901,2736107,839901,1671,588,5
-116.554169,43.654167,3.06666666666667,2,0,0,8,21,29,28,0,12,0,0,0,23441.5,-7.5,119.5,14,71,43,38,19,10,26,1469,240,6,102,142,37,8293,323,-61,384,4,204,211,-3,249888,32325,5940,39,93713,28148,93713,28148,911,76,2
-116.237503,47.554165,0.321111111111111,75,0,0,17,0,1,1,0,1,0,4,0,110601.666666667,-32,79.3333333333333,77,57,49,43,8,21,26,1115,240,4,69,130,37,7340,278,-71,349,-14,162,166,-20,1275144,178576,38511,40,508140,161445,508140,161445,1243,822,4
-115.04583,36.145832,5.6875,2,0,0,4,80,5,0,0,4,0,4,0,197292,12,158.5,11,77,51,32,17,19,23,1442,225,12,154,157,41,8046,361,-21,382,72,189,261,56,1772442,208989,49437,33,588464,257406,588464,257406,1317,417,4
-114.904167,42.845833,1.00333333333333,11,0,2,10,26,28,14,0,0,0,6,3,11418533,-15,137,21,73,45,37,18,15,28,1322,237,6,71,159,38,8752,302,-116,418,62,179,186,-39,128011885,13475802,8447608,11,36548758,27828148,36548758,27828148,1830,329,6
-114.720833,32.720833,0.763703703703704,10,0,0,10,54,16,6,0,0,0,3,0,27701729.7777778,-36.7777777777778,116.666666666667,19,74,50,33,17,16,23,1413,229,11,123,165,41,8169,334,-63,397,224,161,230,20,344087517,44425696,14641555,27,115437588,54665951,115437588,54665951,1631,312,8
-114.695831,42.662498,1.33333333333333,11,0,2,10,25,28,14,0,0,0,6,3,11205921,-56,82,21,73,45,37,18,15,28,1323,237,6,71,159,37,8797,302,-117,419,62,180,186,-40,122822009,12875363,8211053,11,35101913,27002484,35101913,27002484,1842,337,6
-114.387497,36.287498,0.44,6,0,0,7,57,17,4,0,0,0,1,3,7797470,4,152,16,74,50,32,16,15,22,1425,225,12,136,156,39,8521,350,-48,398,241,176,248,29,86636056,10258059,4630035,20,27521790,16985468,27521790,16985468,1428,332,0
-114.387497,36.362499,0.440535714285714,6,0,0,7,57,17,4,0,0,0,1,3,7032060,23.5,177.5,16,74,50,32,16,15,22,1425,225,12,136,156,39,8521,350,-48,398,241,176,248,29,86636056,10258059,4630035,20,27521790,16985468,27521790,16985468,1428,332,0
-114.362503,42.595833,0.63,11,0,2,10,26,28,14,0,0,0,6,3,10961982,-16,137,21,73,45,37,18,15,28,1323,237,6,71,159,37,8797,302,-117,419,61,180,186,-40,122110261,12790618,8183452,11,34896158,26899797,34896158,26899797,1846,338,6
-112.229164,41.070835,6.3875,2,0,0,5,21,21,9,0,1,0,10,24,489099,17,156,13,74,45,35,18,12,26,1284,237,5,97,140,34,9145,326,-86,412,88,218,218,-18,5116182,512487,363441,11,1512526,1157764,1512526,1157764,1471,241,0
-111.92083,40.737499,2.425,15,0,6,12,9,28,21,0,4,0,0,4,683559,-4,144,27,70,41,39,19,13,28,1307,239,4,80,152,37,8732,307,-103,410,-11,195,195,-30,7232495,769991,386314,20,2163121,1240573,2163121,1240573,1965,572,4
-111.804169,40.779167,0.836666666666667,16,0,19,6,10,6,44,0,0,0,0,0,1977,-7,136,30,66,32,45,23,9,31,1351,240,5,77,152,37,8509,305,-100,405,21,189,189,-29,19029,2127,821,27,5926,2783,5926,2783,2041,646,1
-108.804169,39.212502,1.82,0,0,0,1,17,16,62,0,0,0,5,0,1211,20,191,13,75,45,36,19,7,22,1379,240,4,106,170,37,9572,340,-109,449,175,-20,227,-20,14355,1525,835,18,4319,2871,4319,2871,1431,86,1
-106.537498,31.804167,0.805,16,0,0,12,43,24,5,0,0,0,0,0,2651050,-8,180,26,71,51,33,16,18,24,1365,231,11,93,179,44,7862,297,-103,400,187,134,195,-7,53604962,9457699,2651050,49,24050902,8849385,24050902,8849385,2166,270,6
-106.445831,39.612499,0.646666666666667,62,0,0,13,2,18,4,0,0,0,0,0,72979,-78,74,69,56,55,35,10,28,19,1273,240,6,16,165,41,8083,227,-174,401,115,29,121,-85,808892,82623,51299,14,227152,176672,227152,176672,3227,844,3
-105.79583,40.237499,0.37,59,0,0,12,6,23,1,0,0,0,0,0,8036,-82,64,70,55,55,35,9,31,16,1230,240,6,10,153,41,7585,211,-160,371,-7,20,109,-83,76598,8036,4649,14,22690,16068,22690,16068,3318,903,2
-105.645836,40.304165,0.208333333333333,35,0,0,24,12,28,0,1,0,0,0,0,3999,-82,61,60,55,58,33,9,41,16,1209,240,6,10,150,41,7376,209,-152,361,-8,20,108,-78,37871,3999,2271,15,11350,7875,11350,7875,3448,1069,1
-105.587502,40.354168,0.984166666666665,55,0,0,14,4,22,4,0,0,0,0,0,12764,-71,76,69,55,58,33,9,35,17,1254,240,7,21,154,41,7478,224,-145,369,4,31,120,-69,123610,12764,7599,15,36507,25960,36507,25960,3170,970,1
-105.012497,39.637501,2.14883333333333,33,0,0,17,13,32,4,0,1,0,0,0,492990.8,-66.8,92,47,64,58,30,12,25,22,1332,240,7,36,170,42,7977,246,-157,403,141,-62,141,-62,5620762,813169,236983,39,2148048,797047,2148048,797047,2727,411,4
-104.995834,39.762501,4.5659375,31,0,0,16,11,33,5,0,4,0,0,0,617744.5,-61.25,97.5,45,64,56,31,13,23,22,1343,240,7,45,169,42,7983,254,-147,401,150,-54,150,-54,6998668,1001151,281226,40,2667411,949560,2667411,949560,2605,379,4
-104.820831,39.729168,2.06666666666667,6,2,0,12,4,34,9,0,33,0,0,0,4444,-43,104,17,72,39,39,21,7,26,1450,240,7,97,154,38,8342,308,-88,396,183,-3,209,-3,58700,9824,1700,52,25472,5698,25472,5698,1724,73,2
-104.604164,38.295834,2.3,22,0,0,11,18,38,4,0,7,0,0,0,147415,-10,152,32,67,51,33,15,16,22,1407,239,7,84,164,41,8061,292,-105,397,191,-15,191,-15,1589254,268581,38167,59,718553,140060,718553,140060,2077,292,4
-104.5625,40.412498,7.8,29,0,0,13,8,34,11,0,4,0,0,0,1718487,-31,124,40,65,51,34,15,20,22,1356,240,7,61,161,40,8016,270,-124,394,143,-37,167,-37,17166801,2239219,720616,37,6317342,2304402,6317342,2304402,2303,338,5
-101.95417,48.987499,2.05333333333333,0,0,0,6,1,15,77,0,0,0,0,1,956370.4,-58.2,65,17,73,37,42,21,3,25,1418,240,2,30,130,26,12196,270,-214,484,156,-135,179,-135,15968304,2774838,513183,58,7204433,1777925,7204433,1777925,618,25,5
-100.862503,48.8125,2.16666666666667,1,0,6,9,3,10,71,0,0,0,0,0,44033,-22,110,23,71,42,40,19,4,28,1393,240,1,31,131,26,12479,270,-220,490,183,-138,183,-138,585553,104080,15090,63,278296,51574,278296,51574,504,48,3
-99.029167,48.104168,1.76666666666667,1,0,0,5,1,12,68,0,0,0,0,7,115347.5,-147,-31,30,69,45,38,17,5,27,1385,240,0,35,128,26,12533,274,-213,487,188,-135,188,-135,3464407,620563,83133,63,1640688,292506,1640688,292506,463,25,0
